PLAYER,FIRST_NAME,LAST_NAME,POS,YEAR,RNK,STAR,247_SCORE,COLLEGE,CITY,STATE,LAT,LNG,HIGH_SCHOOL
Jarvis Phillips,Jarvis,Phillips,CB,2009,1399,3,0.8198,Texas Tech,Dallas,TX,32.7762719,-96.7968559,Carter
Zed Evans,Zed,Evans,CB,2009,1401,3,0.8194,Louisville,Dallas,TX,32.7762719,-96.7968559,Seagoville
Donavan Bonner,Donavan,Bonner,S,2009,1440,3,0.8163,Missouri,Dallas,TX,32.7762719,-96.7968559,Lincoln
Keivon Gamble,Keivon,Gamble,CB,2009,1557,3,0.8111,SMU,Dallas,TX,32.7762719,-96.7968559,Lincoln
Brandon Haynes,Brandon,Haynes,OG,2009,1610,3,0.8052,Colorado State,Dallas,TX,32.7762719,-96.7968559,Jesuit
Chris Frazier,Chris,Frazier,ATH,2009,1749,2,0.7889,SMU,Dallas,TX,32.7762719,-96.7968559,Skyline
Michael Harrison,Michael,Harrison,WR,2009,1771,2,0.7889,Oklahoma State,Dallas,TX,32.7762719,-96.7968559,Hillcrest
Andrew Taylor,Andrew,Taylor,CB,2009,2059,2,0.7556,Colorado State,Dallas,TX,32.7762719,-96.7968559,Lincoln
Mike Davis,Mike,Davis,WR,2010,13,5,0.994,Texas,Dallas,TX,32.7762719,-96.7968559,Skyline
Corey Nelson,Corey,Nelson,OLB,2010,73,4,0.9656,Oklahoma,Dallas,TX,32.7762719,-96.7968559,Skyline
Eric Humphrey,Eric,Humphrey,DT,2010,224,4,0.9129,Oklahoma,Dallas,TX,32.7762719,-96.7968559,Episcopal School of Dallas
Joseph Powell,Joseph,Powell,WR,2010,354,3,0.8889,Oklahoma,Dallas,TX,32.7762719,-96.7968559,Skyline
Joe Powell,Joe,Powell,CB,2010,398,3,0.8843,Oklahoma,Dallas,TX,32.7762719,-96.7968559,Skyline
Chuka Ndulue,Chuka,Ndulue,WDE,2010,436,3,0.8795,Oklahoma,Dallas,TX,32.7762719,-96.7968559,Jesuit
Tony Drake,Tony,Drake,APB,2010,503,3,0.8733,Colorado State,Dallas,TX,32.7762719,-96.7968559,Skyline
Domonique Patterson,Domonique,Patterson,OLB,2010,527,3,0.8733,Texas A&M,Dallas,TX,32.7762719,-96.7968559,Skyline
Jatashun Beachum,Jatashun,Beachum,ATH,2010,583,3,0.8697,Arkansas,Dallas,TX,32.7762719,-96.7968559,A Maceo Smith
Rodney Williams,Rodney,Williams,DT,2010,621,3,0.867,Houston,Dallas,TX,32.7762719,-96.7968559,Skyline
Javius Townsend,Javius,Townsend,OT,2010,879,3,0.8559,Oklahoma State,Dallas,TX,32.7762719,-96.7968559,James Madison
Luke Woodley,Luke,Woodley,PRO,2010,1040,3,0.851,Louisville,Dallas,TX,32.7762719,-96.7968559,Highland Park
Javia Hall,Javia,Hall,PRO,2010,1088,3,0.8497,UTEP,Dallas,TX,32.7762719,-96.7968559,Skyline
Russell Polk,Russell,Polk,S,2010,1097,3,0.8497,Texas Tech,Dallas,TX,32.7762719,-96.7968559,Carter
Reggie Pegram,Reggie,Pegram,RB,2010,1590,3,0.8274,Purdue,Dallas,TX,32.7762719,-96.7968559,James Madison
Adrian Lee,Adrian,Lee,CB,2010,1723,3,0.8137,California,Dallas,TX,32.7762719,-96.7968559,Skyline
Tajh Fite,Tajh,Fite,WDE,2010,1776,3,0.8111,UTEP,Dallas,TX,32.7762719,-96.7968559,Bryan Adams
Tramone Mickens,Tramone,Mickens,CB,2010,1806,3,0.8111,Texas A&M,Dallas,TX,32.7762719,-96.7968559,Lincoln
Aaron Spikes,Aaron,Spikes,RB,2010,1906,3,0.8081,Louisiana-Lafayette,Dallas,TX,32.7762719,-96.7968559,Pinkston
Graylin Hawkins,Graylin,Hawkins,OG,2010,2106,2,0.787,North Texas,Dallas,TX,32.7762719,-96.7968559,Skyline
Adrian James,Adrian,James,CB,2010,2300,2,0.7667,UTEP,Dallas,TX,32.7762719,-96.7968559,Skyline
Malcolm Trail,Malcolm,Trail,WR,2010,2317,2,0.7667,UTEP,Dallas,TX,32.7762719,-96.7968559,Life School Oak Cliff
Anthony Garner,Anthony,Garner,ILB,2010,2347,2,0.7667,Louisiana Tech,Dallas,TX,32.7762719,-96.7968559,South Oak Cliff
Anthony Wallace,Anthony,Wallace,ILB,2011,112,4,0.9439,Oregon,Dallas,TX,32.7762719,-96.7968559,Skyline
Ty Montgomery,Ty,Montgomery,WR,2011,231,4,0.9026,Stanford,Dallas,TX,32.7762719,-96.7968559,St. Mark's
Frank Shannon,Frank,Shannon,OLB,2011,273,4,0.8918,Oklahoma,Dallas,TX,32.7762719,-96.7968559,Skyline
Desmond Roland,Desmond,Roland,ATH,2011,287,3,0.8895,Oklahoma State,Dallas,TX,32.7762719,-96.7968559,Lake Highlands
Andrew Peterson,Andrew,Peterson,TE,2011,311,3,0.8842,Arkansas,Dallas,TX,32.7762719,-96.7968559,Seagoville
Isiah Norton,Isiah,Norton,DT,2011,364,3,0.8756,Colorado State,Dallas,TX,32.7762719,-96.7968559,Kimball
Rob Hankins,Rob,Hankins,ILB,2011,393,3,0.8721,Arizona,Dallas,TX,32.7762719,-96.7968559,Parish Episcopal School
Marquel Bryant,Marquel,Bryant,WDE,2011,857,3,0.8426,Kansas State,Dallas,TX,32.7762719,-96.7968559,Skyline
Kenneth Lynn,Kenneth,Lynn,CB,2011,892,3,0.8407,Iowa State,Dallas,TX,32.7762719,-96.7968559,Kimball
LeShundrick Morrison,LeShundrick,Morrison,S,2011,1026,3,0.8333,NoCollege,Dallas,TX,32.7762719,-96.7968559,Bryan Adams
Desmine Hilliard,Desmine,Hilliard,OG,2011,1035,3,0.8333,NoCollege,Dallas,TX,32.7762719,-96.7968559,Lincoln
Freddie Warner,Freddie,Warner,CB,2011,1190,3,0.8216,North Texas,Dallas,TX,32.7762719,-96.7968559,Pinkston
Michael Moore,Michael,Moore,OLB,2011,1254,3,0.8166,Kansas State,Dallas,TX,32.7762719,-96.7968559,Skyline
Paul Dawson,Paul,Dawson,ATH,2011,1327,3,0.8111,TCU,Dallas,TX,32.7762719,-96.7968559,Skyline
Keithen English,Keithen,English,OG,2011,1418,3,0.8042,Houston,Dallas,TX,32.7762719,-96.7968559,A Maceo Smith
James Hairston,James,Hairston,K,2011,1468,3,0.7999,LSU,Dallas,TX,32.7762719,-96.7968559,Jesuit
Devonte Davis,Devonte,Davis,OLB,2011,1494,2,0.7966,Baylor,Dallas,TX,32.7762719,-96.7968559,Lincoln
Carl Harris,Carl,Harris,RB,2011,1764,2,0.7667,Memphis,Dallas,TX,32.7762719,-96.7968559,Woodrow Wilson
Kyle Stouffer,Kyle,Stouffer,OT,2011,1931,2,0.7667,NoCollege,Dallas,TX,32.7762719,-96.7968559,Highland Park
Devante Davis,Devante,Davis,OLB,2011,1980,2,0.7667,Baylor,Dallas,TX,32.7762719,-96.7968559,Lincoln
DeAndre Elliott,DeAndre,Elliott,ATH,2011,2051,2,0.7593,Colorado State,Dallas,TX,32.7762719,-96.7968559,Carter
Kerry Swarn,Kerry,Swarn,S,2011,2224,2,0.7333,North Texas,Dallas,TX,32.7762719,-96.7968559,Lincoln
Lloyd Carrington,Lloyd,Carrington,CB,2011,2307,2,0.7333,Pittsburgh,Dallas,TX,32.7762719,-96.7968559,Lincoln
Chad Polk,Chad,Polk,OLB,2011,2507,2,0.7333,North Texas,Dallas,TX,32.7762719,-96.7968559,Woodrow Wilson
Austin Franklin,Austin,Franklin,ATH,2011,2664,2,0.7,New Mexico State,Dallas,TX,32.7762719,-96.7968559,Kimball
Thomas Johnson,Thomas,Johnson,WR,2012,33,5,0.9845,Texas A&M,Dallas,TX,32.7762719,-96.7968559,Skyline
LaDarrell McNeil,LaDarrell,McNeil,S,2012,72,4,0.9663,NoCollege,Dallas,TX,32.7762719,-96.7968559,A Maceo Smith
LaDarrell McNeil,LaDarrell,McNeil,S,2012,90,4,0.9581,Tennessee,Dallas,TX,32.7762719,-96.7968559,Wilmer-Hutchins
Peter Jinkens,Peter,Jinkens,OLB,2012,119,4,0.9486,Texas,Dallas,TX,32.7762719,-96.7968559,Skyline
Alex Norman,Alex,Norman,DT,2012,343,4,0.8947,Texas,Dallas,TX,32.7762719,-96.7968559,Bishop Dunne
Damein Lawry,Damein,Lawry,ATH,2012,747,3,0.8594,Iowa State,Dallas,TX,32.7762719,-96.7968559,A Maceo Smith
Kris Williams,Kris,Williams,OLB,2012,1129,3,0.8347,Texas Tech,Dallas,TX,32.7762719,-96.7968559,Bryan Adams
Travondre Rabon,Travondre,Rabon,WR,2012,1238,3,0.8286,NoCollege,Dallas,TX,32.7762719,-96.7968559,Skyline
Deonte Wortham,Deonte,Wortham,OLB,2012,1418,3,0.8165,NoCollege,Dallas,TX,32.7762719,-96.7968559,Wilmer-Hutchins
Patrick Levels,Patrick,Levels,CB,2012,1478,3,0.8133,Baylor,Dallas,TX,32.7762719,-96.7968559,Roosevelt
Paul Franklin,Paul,Franklin,RB,2012,1494,3,0.8121,UTEP,Dallas,TX,32.7762719,-96.7968559,South Oak Cliff
Tre Raybon,Tre,Raybon,WR,2012,1614,3,0.8065,NoCollege,Dallas,TX,32.7762719,-96.7968559,Skyline
Courtney Arnick,Courtney,Arnick,OLB,2012,1662,3,0.8039,Kansas,Dallas,TX,32.7762719,-96.7968559,Carter
Roderick Lancaster,Roderick,Lancaster,WR,2012,1743,3,0.7999,North Texas,Dallas,TX,32.7762719,-96.7968559,Life School Oak Cliff
Tanner Stone,Tanner,Stone,OT,2012,1805,2,0.7949,Duke,Dallas,TX,32.7762719,-96.7968559,Highland Park
Chase Walling,Chase,Walling,OT,2012,1841,2,0.7924,SMU,Dallas,TX,32.7762719,-96.7968559,Lake Highlands
D'arric Thomas,D'arric,Thomas,CB,2012,1922,2,0.7882,Colorado State,Dallas,TX,32.7762719,-96.7968559,Carter
David Greene,David,Greene,ATH,2012,1985,2,0.7832,UNLV,Dallas,TX,32.7762719,-96.7968559,Skyline
Shelton Session,Shelton,Session,CB,2012,2134,2,0.7732,NoCollege,Dallas,TX,32.7762719,-96.7968559,Skyline
Dalton Stogner,Dalton,Stogner,WR,2012,2290,2,0.7667,NoCollege,Dallas,TX,32.7762719,-96.7968559,Highland Park
Dominic Spencer,Dominic,Spencer,OLB,2012,2340,2,0.7667,NoCollege,Dallas,TX,32.7762719,-96.7968559,Skyline
Braelon Roberts,Braelon,Roberts,WR,2012,2453,2,0.7632,Arkansas State,Dallas,TX,32.7762719,-96.7968559,Bishop Dunne
Tabari McGaskey,Tabari,McGaskey,OLB,2012,2457,2,0.7632,Rice,Dallas,TX,32.7762719,-96.7968559,Lincoln
Cory Callicutt,Cory,Callicutt,WR,2012,2930,2,0.7333,UTEP,Dallas,TX,32.7762719,-96.7968559,South Oak Cliff
Paytron Hightower,Paytron,Hightower,SDE,2012,3038,2,0.7,New Mexico,Dallas,TX,32.7762719,-96.7968559,Pinkston
Darian Allen,Darian,Allen,OT,2012,3077,2,0.7,New Mexico,Dallas,TX,32.7762719,-96.7968559,W W Samuell
Lee Ziemba,Lee,Ziemba,OT,2007,47,4,0.9783,Auburn,Rogers,AR,36.3320197,-94.1185366,Rogers
Jake Byrne,Jake,Byrne,TE,2008,975,3,0.8333,Wisconsin,Rogers,AR,36.3320197,-94.1185366,Rogers
Jimmy Britton,Jimmy,Britton,OLB,2011,1858,2,0.7667,Navy,Rogers,AR,36.3320197,-94.1185366,Rogers
Dez Bryant,Dez,Bryant,WR,2007,48,4,0.9783,Oklahoma State,Lufkin,TX,31.3386242,-94.7288558,Lufkin
A.J. Penson,A.J.,Penson,ILB,2007,1107,3,0.8149,North Texas,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Darrius Terry,Darrius,Terry,CB,2008,431,3,0.8778,Louisiana Tech,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Josh Emshoff,Josh,Emshoff,OG,2008,1430,2,0.7889,SMU,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Jacolby Ashworth,Jacolby,Ashworth,OG,2008,1594,2,0.7667,Houston,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Jamarkus McFarland,Jamarkus,McFarland,DT,2009,23,5,0.9881,Oklahoma,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Carrington Byndom,Carrington,Byndom,CB,2010,131,4,0.9387,Texas,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Travoskey Garrett,Travoskey,Garrett,S,2011,753,3,0.8482,TCU,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Darrell Kelly-Thomas,Darrell,Kelly-Thomas,WDE,2011,864,3,0.8422,Arkansas,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Deauntre Smiley,Deauntre,Smiley,DUAL,2011,1937,2,0.7667,NoCollege,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Jackson Randle,Jackson,Randle,SDE,2011,2474,2,0.7333,Louisiana-Monroe,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Tomme Mark,Tomme,Mark,DT,2012,550,3,0.8756,Houston,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Jamarcus Walker,Jamarcus,Walker,RB,2012,1263,3,0.8266,NoCollege,Lufkin,TX,31.3386242,-94.7288558,Lufkin
Jerimy Finch,Jerimy,Finch,S,2007,49,4,0.9782,Florida,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Darren Evans,Darren,Evans,RB,2007,302,3,0.8795,Virginia Tech,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Adrien Robinson,Adrien,Robinson,TE,2007,624,3,0.851,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Jeff Boyd,Jeff,Boyd,DT,2007,718,3,0.8417,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Joe Holland,Joe,Holland,ATH,2007,855,3,0.8333,Purdue,Indianapolis,IN,39.7683331,-86.1583502,Bishop Chatard
Andrew McDonald,Andrew,McDonald,OT,2007,1178,3,0.8111,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Chris Adkins,Chris,Adkins,S,2007,1406,2,0.7889,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Alex Hoffman,Alex,Hoffman,OG,2007,1682,2,0.7667,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Mike Switzer,Mike,Switzer,OT,2007,1735,2,0.7444,Ball State,Indianapolis,IN,39.7683331,-86.1583502,Lawrence North
MarQueis Gray,MarQueis,Gray,PRO,2008,200,4,0.9143,Minnesota,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Darius Willis,Darius,Willis,RB,2008,564,3,0.8653,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Franklin Central
Tandon Doss,Tandon,Doss,WR,2008,837,3,0.8431,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
LaVarus Williams,LaVarus,Williams,CB,2008,1256,3,0.8111,Central Michigan,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Robert Maci,Robert,Maci,WDE,2008,1261,3,0.8111,Purdue,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Jewel Hampton,Jewel,Hampton,APB,2008,1503,2,0.7865,Iowa,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Cameron Lowry,Cameron,Lowry,OT,2008,1894,2,0.7444,Ball State,Indianapolis,IN,39.7683331,-86.1583502,Pike
Robert Martin,Robert,Martin,OLB,2008,2145,2,0.7,Ball State,Indianapolis,IN,39.7683331,-86.1583502,Pike
Zack Martin,Zack,Martin,OT,2009,142,4,0.9319,Notre Dame,Indianapolis,IN,39.7683331,-86.1583502,Bishop Chatard
Kyle Koehne,Kyle,Koehne,OT,2009,666,3,0.8622,Florida,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Andre Cureton,Andre,Cureton,OT,2009,1405,3,0.8194,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Pike
Nick Turner,Nick,Turner,RB,2009,1908,2,0.7667,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Southport
Troy Smith,Troy,Smith,CB,2009,2019,2,0.7667,Toledo,Indianapolis,IN,39.7683331,-86.1583502,Pike
Dyjuan Lewis,Dyjuan,Lewis,WR,2010,234,4,0.9112,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Pike
Isaiah Lewis,Isaiah,Lewis,S,2010,307,4,0.8949,Michigan State,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
James Manuel,James,Manuel,S,2010,692,3,0.8653,Minnesota,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Joe Gilliam,Joe,Gilliam,OLB,2010,732,3,0.8622,Purdue,Indianapolis,IN,39.7683331,-86.1583502,Southport
Anthony McClung,Anthony,McClung,WR,2010,1157,3,0.8479,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Pike
Kofi Hughes,Kofi,Hughes,ATH,2010,1358,3,0.8368,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Elijah Jones,Elijah,Jones,DT,2010,1427,3,0.8333,Toledo,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Camaron Beard,Camaron,Beard,SDE,2010,1433,3,0.8333,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Jeff Garrett,Jeff,Garrett,CB,2010,1568,3,0.8294,Ball State,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Jeffrey Garrett Jr.,Jeffrey,Garrett Jr.,CB,2010,1569,3,0.8294,Ball State,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Phil Dudley,Phil,Dudley,RB,2010,1745,3,0.8118,Ball State,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Keith Suggs,Keith,Suggs,CB,2010,2058,2,0.7889,Toledo,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Jimmy Graves Jr.,Jimmy,Graves Jr.,S,2010,2174,2,0.7667,Ball State,Indianapolis,IN,39.7683331,-86.1583502,North Central
Reggie Nesbit,Reggie,Nesbit,OLB,2010,2248,2,0.7667,Army,Indianapolis,IN,39.7683331,-86.1583502,Park Tudor
Michael Gegner,Michael,Gegner,OC,2010,2256,2,0.7667,Northern Illinois,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Andrew East,Andrew,East,ILB,2010,2391,2,0.7531,Vanderbilt,Indianapolis,IN,39.7683331,-86.1583502,North Central
Kiaro Holts,Kiaro,Holts,OT,2011,71,4,0.9636,North Carolina,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Kris Harley,Kris,Harley,DT,2011,144,4,0.9315,Virginia Tech,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Nick Temple,Nick,Temple,S,2011,434,3,0.8675,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Nick Martin,Nick,Martin,OG,2011,529,3,0.861,Notre Dame,Indianapolis,IN,39.7683331,-86.1583502,Bishop Chatard
Tre Roberson,Tre,Roberson,DUAL,2011,761,3,0.8478,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Lawrence Central
Ralston Evans,Ralston,Evans,OG,2011,1065,3,0.8321,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Arlington
Eric Robinson-Berry,Eric,Robinson-Berry,CB,2011,1191,3,0.8216,Western Kentucky,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Ted Karras,Ted,Karras,OG,2011,1239,3,0.8171,Illinois,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Kyle Kennedy,Kyle,Kennedy,ILB,2011,1296,3,0.813,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Jamoni Gentry,Jamoni,Gentry,OG,2011,1967,2,0.7667,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Kody Woods,Kody,Woods,OG,2011,1986,2,0.7667,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Pike
Devin Scott,Devin,Scott,TE,2011,2518,2,0.7333,Western Kentucky,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Sheldon Day,Sheldon,Day,DT,2012,111,4,0.9509,Notre Dame,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Kevin Davis,Kevin,Davis,WR,2012,551,3,0.8755,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Deionte Buckley,Deionte,Buckley,RB,2012,574,3,0.8737,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
John Turner,John,Turner,S,2012,672,3,0.8664,Notre Dame,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Wes Rogers,Wes,Rogers,OC,2012,681,3,0.8658,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Lawrence Central
Jordan Shine,Jordan,Shine,S,2012,694,3,0.8647,Purdue,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Joshua Posley,Joshua,Posley,SDE,2012,784,3,0.8568,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Pierre Aka,Pierre,Aka,TE,2012,790,3,0.8561,Iowa State,Indianapolis,IN,39.7683331,-86.1583502,Pike
Jordan Wallace,Jordan,Wallace,OLB,2012,961,3,0.8438,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Jonathan Burt,Jonathan,Burt,SDE,2012,962,3,0.8438,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Jonathan Reed,Jonathan,Reed,CB,2012,1059,3,0.8388,Kentucky,Indianapolis,IN,39.7683331,-86.1583502,Pike
Sid Anvoots,Sid,Anvoots,OG,2012,1090,3,0.8372,Louisville,Indianapolis,IN,39.7683331,-86.1583502,Bishop Chatard
Aloyis Gray,Aloyis,Gray,ATH,2012,1094,3,0.8371,Purdue,Indianapolis,IN,39.7683331,-86.1583502,Pike
Jon Toth,Jon,Toth,OG,2012,1096,3,0.837,Kentucky,Indianapolis,IN,39.7683331,-86.1583502,Brebeuf Jesuit Preparatory School
Jacob Bailey,Jacob,Bailey,OT,2012,1134,3,0.8342,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Caleb Cornett,Caleb,Cornett,WR,2012,1203,3,0.8307,Indiana,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Kevin Brown,Kevin,Brown,S,2012,1226,3,0.8291,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Lawrence Central
Deyshawn Bond,Deyshawn,Bond,OG,2012,1307,3,0.823,Cincinnati,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Jordan Williams,Jordan,Williams,WR,2012,1690,3,0.8021,Ball State,Indianapolis,IN,39.7683331,-86.1583502,North Central
Ryan Frain,Ryan,Frain,K,2012,1925,2,0.7881,Illinois,Indianapolis,IN,39.7683331,-86.1583502,Scecina Memorial
Michael Raby,Michael,Raby,TE,2012,2022,2,0.7806,Ball State,Indianapolis,IN,39.7683331,-86.1583502,North Central
Darnell Smith,Darnell,Smith,DT,2012,2128,2,0.7732,Ball State,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Kaleb Humphrey,Kaleb,Humphrey,CB,2012,2129,2,0.7732,Southern Illinois,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Lamont Osborn,Lamont,Osborn,APB,2012,2166,2,0.7717,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Jordan Hughes,Jordan,Hughes,RB,2012,2275,2,0.7667,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Arsenal Technical
Jesse Thompson,Jesse,Thompson,WDE,2012,2404,2,0.7667,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Michael Taylor,Michael,Taylor,CB,2012,2500,2,0.7598,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Ronnie Alexander,Ronnie,Alexander,WR,2012,2740,2,0.7398,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Terrance Winfrey,Terrance,Winfrey,TE,2012,2742,2,0.7398,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Ben Davis
Anthony Corsaro,Anthony,Corsaro,TE,2012,2760,2,0.7381,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Cathedral
Kyle Faunce,Kyle,Faunce,PRO,2012,2937,2,0.7331,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Warren Central
Marcellion Gardner,Marcellion,Gardner,APB,2012,3086,1,0.6998,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Lawrence Central
Anthony Shelman,Anthony,Shelman,WR,2012,3087,1,0.6998,NoCollege,Indianapolis,IN,39.7683331,-86.1583502,Lawrence Central
Drew Oehrle,Drew,Oehrle,K,2012,3088,1,0.6998,Air Force,Indianapolis,IN,39.7683331,-86.1583502,Roncalli
Dionte Allen,Dionte,Allen,CB,2007,50,4,0.9781,Florida State,West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
Alex Delisi,Alex,Delisi,ILB,2007,1684,2,0.7667,Cincinnati,West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
Jason Semmes,Jason,Semmes,WDE,2008,1902,2,0.7444,Iowa,West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
Dion Sims,Dion,Sims,TE,2009,321,4,0.8906,Michigan State,West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
Rob Bolden,Rob,Bolden,DUAL,2010,91,4,0.9568,Penn State,West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
Earnest Thomas,Earnest,Thomas,S,2010,716,3,0.8639,Illinois,West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
Aaron Foster,Aaron,Foster,S,2010,1769,3,0.8111,Bowling Green,West Bloomfield,MI,44.2208134,-88.9717809,West Bloomfield
Allen Robinson,Allen,Robinson,WR,2011,975,3,0.836,Penn State,West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
James Ross,James,Ross,ILB,2012,113,4,0.9499,Michigan,West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
C.J. Brathwaite,C.J.,Brathwaite,APB,2012,1799,2,0.7956,Kent State,West Bloomfield,MI,44.2208134,-88.9717809,West Bloomfield
Chauncey Briggs,Chauncey,Briggs,OT,2012,1806,2,0.7949,SMU,West Bloomfield,MI,44.2208134,-88.9717809,West Bloomfield
Spencer McInnis,Spencer,McInnis,ATH,2012,2688,2,0.7481,Miami (OH),West Bloomfield,MI,44.2208134,-88.9717809,St. Mary's
Kerry Murphy,Kerry,Murphy,DT,2007,51,4,0.9771,Alabama,Hoover,AL,33.434977,-86.81784808,Hoover
Ryan Pugh,Ryan,Pugh,OC,2007,105,4,0.9442,Auburn,Hoover,AL,33.434977,-86.81784808,Hoover
Patrick Crump,Patrick,Crump,OG,2007,459,3,0.8639,Alabama,Hoover,AL,33.434977,-86.81784808,Hoover
Josh Chapman,Josh,Chapman,DT,2007,571,3,0.8545,Alabama,Hoover,AL,33.434977,-86.81784808,Hoover
Brandon Clear,Brandon,Clear,WR,2007,743,3,0.8403,Clemson,Hoover,AL,33.434977,-86.81784808,Hoover
Byron Clear,Byron,Clear,WDE,2007,811,3,0.8354,Clemson,Hoover,AL,33.434977,-86.81784808,Hoover
Korey Reynolds,Korey,Reynolds,SDE,2007,1833,2,0.7444,Hawaii,Hoover,AL,33.434977,-86.81784808,Hoover
Chase Daniel,Chase,Daniel,S,2008,1909,2,0.7444,UAB,Hoover,AL,33.434977,-86.81784808,Hoover
Pat Miller,Pat,Miller,S,2009,906,3,0.851,West Virginia,Hoover,AL,33.434977,-86.81784808,Hoover
Maudrecus Humphrey,Maudrecus,Humphrey,WR,2010,855,3,0.8581,Arkansas,Hoover,AL,33.434977,-86.81784808,Hoover
John Propst,John,Propst,ILB,2010,876,3,0.8559,Tennessee,Hoover,AL,33.434977,-86.81784808,Hoover
