PLAYER,FIRST_NAME,LAST_NAME,POS,YEAR,RNK,STAR,247_SCORE,COLLEGE,CITY,STATE,LAT,LNG,HIGH_SCHOOL
Joseph Theard,Joseph,Theard,DT,2010,2274,2,0.7667,SMU,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Lawrence Cayou,Lawrence,Cayou,WDE,2010,2346,2,0.7667,Texas Tech,New Orleans,LA,30.03280175,-89.97500545,McDonogh 35
Maurice Sutton,Maurice,Sutton,CB,2010,2368,2,0.7667,SMU,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Anthony Johnson,Anthony,Johnson,DT,2011,5,5,0.9973,LSU,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Odell Beckham Jr.,Odell,Beckham Jr.,WR,2011,135,4,0.9341,LSU,New Orleans,LA,30.03280175,-89.97500545,Isidore Newman
Trai Turner,Trai,Turner,OG,2011,355,3,0.8765,LSU,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Jonah Austin,Jonah,Austin,OT,2011,411,3,0.87,LSU,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Marc Edwards,Marc,Edwards,WR,2011,1008,3,0.8336,Tulane,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Dante Butler,Dante,Butler,RB,2011,1098,3,0.8296,Tulane,New Orleans,LA,30.03280175,-89.97500545,Brother Martin
Renaldo Thomas,Renaldo,Thomas,S,2011,1115,3,0.8281,Tulane,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Robert Kelley,Robert,Kelley,RB,2011,1267,3,0.8159,Tulane,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Lawrence Burl,Lawrence,Burl,WDE,2011,1526,2,0.7925,Tulane,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Matthew Bailey,Matthew,Bailey,ILB,2011,1579,2,0.7875,Tulane,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Cortez Johnson,Cortez,Johnson,S,2011,1774,2,0.7667,Arizona,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Brandon LeBeau,Brandon,LeBeau,ATH,2011,2138,2,0.7444,Tulane,New Orleans,LA,30.03280175,-89.97500545,Eleanor McMain
Jordan Greene,Jordan,Greene,OT,2011,2299,2,0.7333,Southern Miss,New Orleans,LA,30.03280175,-89.97500545,Brother Martin
Kevon Foster,Kevon,Foster,WDE,2011,2381,2,0.7333,Louisiana-Lafayette,New Orleans,LA,30.03280175,-89.97500545,Warren Easton
Tim Johnson,Tim,Johnson,OLB,2011,2403,2,0.7333,Miami (OH),New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Sean Thomas,Sean,Thomas,CB,2011,2571,2,0.7333,Louisiana-Lafayette,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Dwayne Thomas,Dwayne,Thomas,CB,2012,214,4,0.9197,LSU,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Derek Edinburgh,Derek,Edinburgh,OT,2012,297,4,0.903,LSU,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Deion Jones,Deion,Jones,OLB,2012,378,3,0.8899,LSU,New Orleans,LA,30.03280175,-89.97500545,Jesuit
Dillon Gordon,Dillon,Gordon,OT,2012,474,3,0.88,LSU,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Julien Obioha,Julien,Obioha,SDE,2012,554,3,0.8755,Texas A&M,New Orleans,LA,30.03280175,-89.97500545,Brother Martin
Torrey Dale,Torrey,Dale,WDE,2012,1083,3,0.8375,Mississippi State,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Darrian Dyson,Darrian,Dyson,DT,2012,1097,3,0.8369,FIU,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Lorenzo Doss,Lorenzo,Doss,ATH,2012,1123,3,0.8354,Tulane,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Jarrell Bennett,Jarrell,Bennett,WR,2012,1393,3,0.818,Arizona,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Marques Cheeks,Marques,Cheeks,DT,2012,1519,3,0.8114,FIU,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Melvin Davis,Melvin,Davis,S,2012,1623,3,0.8059,NoCollege,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Todd Jacquet,Todd,Jacquet,OT,2012,1685,3,0.8023,Tulane,New Orleans,LA,30.03280175,-89.97500545,Jesuit
Alex Paul,Alex,Paul,OT,2012,1755,3,0.7992,Tulane,New Orleans,LA,30.03280175,-89.97500545,Isidore Newman
Raymond Jackson,Raymond,Jackson,WR,2012,1828,2,0.7932,FIU,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Devin Powell,Devin,Powell,DUAL,2012,2004,2,0.7824,Tulane,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Joshua Rounds,Joshua,Rounds,RB,2012,2103,2,0.775,Tulane,New Orleans,LA,30.03280175,-89.97500545,Eleanor McMain
