Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
1,1,DET,Matthew Stafford\StafMa00,QB,21,2017,Georgia
1,2,STL,Jason Smith\SmitJa22,T,23,2012,Baylor
1,3,KAN,Tyson Jackson\JackTy98,DE,23,2016,LSU
1,4,SEA,Aaron Curry\CurrAa99,LB,23,2012,Wake Forest
1,5,NYJ,Mark Sanchez\SancMa00,QB,22,2016,USC
1,6,CIN,Andre Smith\SmitAn23,T,22,2017,Alabama
1,7,OAK,Darrius Heyward-Bey\HeywDa00,WR,22,2017,Maryland
1,8,JAX,Eugene Monroe\MonrEu20,T,22,2015,Virginia
1,9,GNB,B.J. Raji\RajiBJ99,DT,23,2015,Boston Col.
1,10,SFO,Michael Crabtree\CrabMi00,WR,22,2017,Texas Tech
1,11,BUF,Aaron Maybin\MaybAa99,DE,21,2012,Penn St.
1,12,DEN,Knowshon Moreno\MoreKn00,RB,22,2014,Georgia
1,13,WAS,Brian Orakpo\OrakBr99,LB,23,2017,Texas
1,14,NOR,Malcolm Jenkins\JenkMa99,DB,21,2017,Ohio St.
1,15,HOU,Brian Cushing\CushBr99,LB,22,2017,USC
1,16,SDG,Larry English\EnglLa99,LB,23,2014,Northern Illinois
1,17,TAM,Josh Freeman\FreeJo00,QB,21,2015,Kansas St.
1,18,DEN,Robert Ayers\AyerRo99,DE,24,2017,Tennessee
1,19,PHI,Jeremy Maclin\MaclJe00,WR,21,2017,Missouri
1,20,DET,Brandon Pettigrew\PettBr00,TE,24,2015,Oklahoma St.
1,21,CLE,Alex Mack\MackAl20,C,23,2017,California
1,22,MIN,Percy Harvin\HarvPe00,WR,21,2016,Florida
1,23,BAL,Michael Oher\OherMi20,T,23,2016,Mississippi
1,24,ATL,Peria Jerry\JerrPe99,DT,25,2013,Mississippi
1,25,MIA,Vontae Davis\DaviVo99,DB,21,2017,Illinois
1,26,GNB,Clay Matthews\MattCl99,LB,23,2017,USC
1,27,IND,Donald Brown\BrowDo00,RB,22,2015,Connecticut
1,28,BUF,Eric Wood\WoodEr20,C,23,2017,Louisville
1,29,NYG,Hakeem Nicks\NickHa01,WR,21,2015,North Carolina
1,30,TEN,Kenny Britt\BritKe00,WR,21,2017,Rutgers
1,31,ARI,Beanie Wells\WellCh00,RB,21,2012,Ohio St.
1,32,PIT,Evander Hood\HoodEv99,DE,22,2017,Missouri
2,33,DET,Louis Delmas\DelmLo99,DB,22,2014,West. Michigan
2,34,NWE,Patrick Chung\ChunPa99,DB,22,2017,Oregon
2,35,STL,James Laurinaitis\LaurJa99,LB,22,2016,Ohio St.
2,36,CLE,Brian Robiskie\RobiBr00,WR,21,2013,Ohio St.
2,37,DEN,Alphonso Smith\SmitAl98,DB,23,2012,Wake Forest
2,38,CIN,Rey Maualuga\MauaRe99,LB,22,2017,USC
2,39,JAX,Eben Britton\BritEb20,T,21,2014,Arizona
2,40,NWE,Ron Brace\BracRo99,DT,22,2012,Boston Col.
2,41,NWE,Darius Butler\ButlDa99,DB,23,2017,Connecticut
2,42,BUF,Jairus Byrd\ByrdJa99,DB,22,2017,Oregon
