Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
7,supp,DAL,Josh Brent\BrenJo00,DT,22,2014,Illinois
7,1,CHI,Harvey Unga\UngaHa00,RB,23,2012,BYU
