Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
1,1,IND,Andrew Luck\LuckAn00,QB,23,2016,Stanford
1,2,WAS,Robert Griffin\GrifRo01,QB,22,2016,Baylor
1,3,CLE,Trent Richardson\RichTr00,RB,22,2014,Alabama
1,4,MIN,Matt Kalil\KaliMa00,T,23,2017,USC
1,5,JAX,Justin Blackmon\BlacJu00,WR,22,2014,Oklahoma St.
1,6,DAL,Morris Claiborne\ClaiMo00,DB,22,2017,LSU
1,7,TAM,Mark Barron\BarrMa00,DB,22,2017,Alabama
1,8,MIA,Ryan Tannehill\TannRy00,QB,24,2016,Texas A&M
1,9,CAR,Luke Kuechly\KuecLu00,LB,21,2017,Boston Col.
1,10,BUF,Stephon Gilmore\GilmSt00,DB,22,2017,South Carolina
1,11,KAN,Dontari Poe\PoexDo00,DT,22,2017,Memphis
1,12,PHI,Fletcher Cox\CoxxFl00,DT,21,2017,Mississippi St.
1,13,ARI,Michael Floyd\FloyMi00,WR,22,2017,Notre Dame
1,14,STL,Michael Brockers\BrocMi00,DT,21,2017,LSU
1,15,SEA,Bruce Irvin\IrviBr00,DE,24,2017,West Virginia
1,16,NYJ,Quinton Coples\CoplQu00,DE,22,2015,North Carolina
1,17,CIN,Dre Kirkpatrick\KirkDr00,DB,22,2017,Alabama
1,18,SDG,Melvin Ingram\IngrMe00,DE,23,2017,South Carolina
1,19,CHI,Shea McClellin\McClSh00,DE,23,2016,Boise St.
1,20,TEN,Kendall Wright\WrigKe01,WR,22,2017,Baylor
1,21,NWE,Chandler Jones\JoneCh03,DE,22,2017,Syracuse
1,22,CLE,Brandon Weeden\WeedBr00,QB,28,2015,Oklahoma St.
1,23,DET,Riley Reiff\ReifRi00,T,23,2017,Iowa
1,24,PIT,David DeCastro\DeCaDa00,G,22,2017,Stanford
1,25,NWE,Dont'a Hightower\HighDo01,LB,22,2017,Alabama
1,26,HOU,Whitney Mercilus\MercWh00,DE,22,2017,Illinois
1,27,CIN,Kevin Zeitler\ZeitKe00,G,22,2017,Wisconsin
1,28,GNB,Nick Perry\PerrNi00,DE,22,2017,USC
1,29,MIN,Harrison Smith\SmitHa00,DB,23,2017,Notre Dame
