PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
Adam Gettis,WDE,2007,1463,2,0.7878,Iowa,New Lenox,IL,41.5119761,-87.9656098,2012,5,141,WAS,G,Iowa
Shaq Mason,OG,2011,1172,3,0.8229,Georgia Tech,Columbia,TN,35.6150716,-87.0352831,2015,4,131,NWE,C,Georgia Tech
Trevor Davis,WR,2011,1594,2,0.7859,Hawaii,Martinez,CA,38.0103311,-122.1298309,2016,5,163,GNB,WR,California
Mike Martin,DT,2008,213,4,0.9107,Michigan,Novi,MI,42.48059,-83.4754913,2012,3,82,TEN,DT,Michigan
Morris Claiborne,ATH,2009,540,3,0.8715,LSU,Shreveport,LA,32.5221828,-93.7651944,2012,1,6,DAL,DB,LSU
Brandon Wilson,RB,2012,1116,3,0.8358,N/A,Shreveport,LA,32.5221828,-93.7651944,2017,6,207,CIN,RB,Houston
Nate Sudfeld,PRO,2012,501,3,0.8786,Indiana,Modesto,CA,37.6390972,-120.9968782,2016,6,187,WAS,QB,Indiana
Eric Rowe,S,2011,450,3,0.8665,Utah,Spring,TX,30.0798826,-95.4172549,2015,2,47,PHI,CB,Utah
Zach Banner,OT,2012,62,4,0.9703,USC,Lakewood,WA,47.1717649,-122.518458,2017,4,137,IND,T,USC
Montori Hughes,DT,2008,955,3,0.8336,Tennessee,Murfreesboro,TN,35.845999,-86.3920452,2013,5,139,IND,DT,Tenn-Martin
Jeoffrey Pagan,SDE,2011,68,4,0.9645,Alabama,Asheville,NC,35.6009498,-82.5540161,2014,6,177,HOU,DE,Alabama
Robert Turbin,RB,2007,1543,2,0.7674,Utah State,Fremont,CA,37.5482697,-121.9885719,2012,4,106,SEA,RB,Utah State
Travis Swanson,OC,2009,764,3,0.859,Arkansas,Humble,TX,29.9988312,-95.2621553,2014,3,76,DET,C,Arkansas
Bud Sasser,WR,2010,466,3,0.8764,Missouri,Denton,TX,33.1838787,-97.1413417,2015,6,201,STL,WR,Missouri
Mario Edwards,DT,2012,2,5,0.9995,Florida State,Denton,TX,33.1838787,-97.1413417,2015,2,35,OAK,DT,Florida State
Jason Spriggs,TE,2012,829,3,0.8529,Indiana,Elkhart,IN,41.6819935,-85.9766671,2016,2,48,GNB,T,Indiana
Lache Seastrunk,RB,2010,32,5,0.9841,Oregon,Temple,TX,31.098207,-97.3427847,2014,6,186,WAS,RB,Baylor
Tevin Reese,WR,2010,1600,3,0.8273,Baylor,Temple,TX,31.098207,-97.3427847,2014,7,240,SDG,WR,Baylor
C.J. Mosley,ILB,2010,78,4,0.9644,Alabama,Theodore,AL,30.547295,-88.18020368,2014,1,17,BAL,LB,Alabama
T.J. Yeldon,RB,2012,27,5,0.9876,Alabama,Daphne,AL,30.6035255,-87.9036047,2015,2,36,JAX,RB,Alabama
Ryan Anderson,OLB,2012,78,4,0.9634,Alabama,Daphne,AL,30.6035255,-87.9036047,2017,2,49,WAS,OLB,Alabama
Mychal Kendricks,OLB,2008,654,3,0.8559,California,Fresno,CA,36.7295295,-119.7088613,2012,2,46,PHI,LB,California
T.J. McDonald,S,2009,32,5,0.9838,USC,Fresno,CA,36.7295295,-119.7088613,2013,3,71,STL,DB,USC
Eric Kendricks,ILB,2010,778,3,0.8622,UCLA,Fresno,CA,36.7295295,-119.7088613,2015,2,45,MIN,ILB,UCLA
Leon McFadden,WR,2009,2050,2,0.7556,San Diego State,Bellflower,CA,33.8825705,-118.1167679,2013,3,68,CLE,DB,San Diego State
Shaquille Richardson,CB,2010,787,3,0.8613,Arizona,Los Alamitos,CA,33.8038865,-118.0772433,2014,5,157,PIT,DB,Arizona
Kyle Van Noy,ATH,2009,266,4,0.8998,Brigham Young,Reno,NV,39.52927,-119.8136744,2014,2,40,DET,LB,BYU
Jameis Winston,DUAL,2012,16,5,0.9915,Florida State,Hueytown,AL,33.4512197,-86.9966606,2015,1,1,TAM,QB,Florida State
Tim Fugger,TE,2007,1624,2,0.7667,Vanderbilt,Lombard,IL,41.8800296,-88.0078435,2012,7,214,IND,DE,Vanderbilt
Jaleel Johnson,DT,2012,208,4,0.9212,Iowa,Lombard,IL,41.8800296,-88.0078435,2017,4,109,MIN,DT,Iowa
Daryl Williams,OT,2010,261,4,0.9033,Oklahoma,Lake Dallas,TX,33.1192875,-97.0255641,2015,4,102,CAR,G,Oklahoma
Josh Bush,S,2007,1641,2,0.7667,Wake Forest,Lexington,NC,35.8240265,-80.2533838,2012,6,187,NYJ,DB,Wake Forest
Kenjon Barner,RB,2008,531,3,0.8684,Oregon,Riverside,CA,33.9533546,-117.3961623,2013,6,182,CAR,RB,Oregon
Alec Ogletree,ILB,2010,19,5,0.9889,Georgia,Newnan,GA,33.3806716,-84.7996573,2013,1,30,STL,LB,Georgia
Reshard Cliett,S,2010,1846,3,0.8111,USF,Thomasville,GA,30.8365815,-83.9787808,2015,6,211,HOU,OLB,South Florida
Danielle Hunter,WDE,2012,195,4,0.9241,LSU,Katy,TX,29.7857853,-95.8243956,2015,3,88,MIN,DE,LSU
Mike Daniels,DT,2007,1673,2,0.7667,Iowa,Blackwood,NJ,39.8023363,-75.0640602,2012,4,132,GNB,DT,Iowa
Khalid Wooten,S,2008,2028,2,0.7,Nevada,Rialto,CA,34.1064001,-117.3703235,2013,6,202,TEN,DB,Nevada
Mike Harris,APB,2008,1213,3,0.8111,Fresno State,Chino,CA,34.0133561,-117.690075,2012,6,176,JAX,DB,Florida State
Obum Gwacham,WR,2009,1999,2,0.7667,Oregon State,Chino,CA,34.0133561,-117.690075,2015,6,209,SEA,DE,Oregon State
Ian Silberman,OT,2010,63,4,0.9692,Florida,Orange Park,FL,30.1660736,-81.706484,2015,6,190,SFO,G,Boston College
Terrance Ganaway,ATH,2007,1705,2,0.7667,Houston,Dekalb,IL,41.9294736,-88.7503647,2012,6,202,NYJ,RB,Baylor
Sio Moore,OLB,2008,2022,2,0.7,Connecticut,Apex,NC,35.7325352,-78.8505516,2013,3,66,OAK,LB,Connecticut
Luke Bowanko,OG,2009,665,3,0.8622,Virginia,Clifton,VA,38.780591,-77.38683527,2014,6,205,JAX,C,Virginia
Nick Kwiatkoski,S,2011,1375,3,0.8073,West Virginia,Bethel Park,PA,40.3275697,-80.0394977,2016,4,113,CHI,ILB,West Virginia
Kelvin Beachum,OG,2007,1731,2,0.7444,SMU,Mexia,TX,31.6798895,-96.482203,2012,7,248,PIT,T,SMU
Khalil Mack,ILB,2009,2252,2,0.7,Buffalo,Fort Pierce,FL,27.4467056,-80.3256056,2014,1,5,OAK,LB,Buffalo
