Year,Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
2012,1,1,IND,Andrew Luck\LuckAn00,QB,23,2016,Stanford
2012,1,2,WAS,Robert Griffin\GrifRo01,QB,22,2016,Baylor
2012,1,3,CLE,Trent Richardson\RichTr00,RB,22,2014,Alabama
2012,1,4,MIN,Matt Kalil\KaliMa00,T,23,2017,USC
2012,1,5,JAX,Justin Blackmon\BlacJu00,WR,22,2014,Oklahoma St.
2012,1,6,DAL,Morris Claiborne\ClaiMo00,DB,22,2017,LSU
2012,1,7,TAM,Mark Barron\BarrMa00,DB,22,2017,Alabama
2012,1,8,MIA,Ryan Tannehill\TannRy00,QB,24,2016,Texas A&M
2012,1,9,CAR,Luke Kuechly\KuecLu00,LB,21,2017,Boston Col.
2012,1,10,BUF,Stephon Gilmore\GilmSt00,DB,22,2017,South Carolina
2012,1,11,KAN,Dontari Poe\PoexDo00,DT,22,2017,Memphis
2012,1,12,PHI,Fletcher Cox\CoxxFl00,DT,21,2017,Mississippi St.
2012,1,13,ARI,Michael Floyd\FloyMi00,WR,22,2017,Notre Dame
2012,1,14,STL,Michael Brockers\BrocMi00,DT,21,2017,LSU
2012,1,15,SEA,Bruce Irvin\IrviBr00,DE,24,2017,West Virginia
2012,1,16,NYJ,Quinton Coples\CoplQu00,DE,22,2015,North Carolina
2012,1,17,CIN,Dre Kirkpatrick\KirkDr00,DB,22,2017,Alabama
2012,1,18,SDG,Melvin Ingram\IngrMe00,DE,23,2017,South Carolina
2012,1,19,CHI,Shea McClellin\McClSh00,DE,23,2016,Boise St.
2012,1,20,TEN,Kendall Wright\WrigKe01,WR,22,2017,Baylor
2012,1,21,NWE,Chandler Jones\JoneCh03,DE,22,2017,Syracuse
2012,1,22,CLE,Brandon Weeden\WeedBr00,QB,28,2015,Oklahoma St.
2012,1,23,DET,Riley Reiff\ReifRi00,T,23,2017,Iowa
2012,1,24,PIT,David DeCastro\DeCaDa00,G,22,2017,Stanford
2012,1,25,NWE,Dont'a Hightower\HighDo01,LB,22,2017,Alabama
2012,1,26,HOU,Whitney Mercilus\MercWh00,DE,22,2017,Illinois
2012,1,27,CIN,Kevin Zeitler\ZeitKe00,G,22,2017,Wisconsin
2012,1,28,GNB,Nick Perry\PerrNi00,DE,22,2017,USC
2012,1,29,MIN,Harrison Smith\SmitHa00,DB,23,2017,Notre Dame
2012,1,30,SFO,A.J. Jenkins\JenkA.00,WR,23,2014,Illinois
2012,1,31,TAM,Doug Martin\MartDo00,RB,23,2017,Boise St.
2012,1,32,NYG,David Wilson\WilsDa01,RB,21,2014,Virginia Tech
2012,2,33,STL,Brian Quick\QuicBr00,WR,23,2017,Appalachian St.
2012,2,34,IND,Coby Fleener\FleeCo00,TE,24,2017,Stanford
2012,2,35,BAL,Courtney Upshaw\UpshCo00,LB,22,2017,Alabama
2012,2,36,DEN,Derek Wolfe\WolfDe00,DT,22,2017,Cincinnati
2012,2,37,CLE,Mitchell Schwartz\SchwMi00,T,23,2017,California
2012,2,38,JAX,Andre Branch\BranAn00,LB,23,2017,Clemson
2012,2,39,STL,Janoris Jenkins\JenkJa03,DB,23,2017,North Alabama
2012,2,40,CAR,Amini Silatolu\SilaAm00,G,24,2017,Midwestern St.
2012,2,41,BUF,Cordy Glenn\GlenCo00,G,23,2017,Georgia
2012,2,42,MIA,Jonathan Martin\MartJo01,T,22,2014,Stanford
2012,2,43,NYJ,Stephen Hill\HillSt00,WR,21,2014,Georgia Tech
2012,2,44,KAN,Jeff Allen\AlleJe01,T,22,2017,Illinois
2012,2,45,CHI,Alshon Jeffery\JeffAl00,WR,22,2017,South Carolina
2012,2,46,PHI,Mychal Kendricks\KendMy00,LB,22,2017,California
2012,2,47,SEA,Bobby Wagner\WagnBo00,LB,22,2017,Utah St.
2012,2,48,NWE,Tavon Wilson\WilsTa00,DB,22,2017,Illinois
2012,2,49,SDG,Kendall Reyes\ReyeKe00,DT,23,2016,Connecticut
2012,2,50,STL,Isaiah Pead\PeadIs00,RB,22,2016,Cincinnati
2012,2,51,GNB,Jerel Worthy\WortJe00,DT,22,2017,Michigan St.
2012,2,52,TEN,Zach Brown\BrowZa00,LB,22,2017,North Carolina
2012,2,53,CIN,Devon Still\StilDe00,DT,23,2016,Penn St.
2012,2,54,DET,Ryan Broyles\BroyRy00,WR,24,2014,Oklahoma
2012,2,55,ATL,Peter Konz\KonzPe00,C,23,2014,Wisconsin
2012,2,56,PIT,Mike Adams\AdamMi02,T,22,2016,Ohio St.
2012,2,57,DEN,Brock Osweiler\OsweBr00,QB,21,2017,Arizona St.
2012,2,58,TAM,Lavonte David\DaviLa00,LB,22,2017,Nebraska
2012,2,59,PHI,Vinny Curry\CurrVi00,DE,24,2017,Marshall
2012,2,60,BAL,Kelechi Osemele\OsemKe00,T,23,2017,Iowa St.
2012,2,61,SFO,LaMichael James\JameLa00,RB,22,2015,Oregon
2012,2,62,GNB,Casey Hayward\HaywCa00,DB,23,2017,Vanderbilt
2012,2,63,NYG,Rueben Randle\RandRu00,WR,21,2015,LSU
2012,3,64,IND,Dwayne Allen\AlleDw00,TE,22,2017,Clemson
2012,3,65,STL,Trumaine Johnson\JohnTr05,DB,22,2017,Montana
2012,3,66,MIN,Josh Robinson\RobiJo01,DB,21,2017,Central Florida
2012,3,67,DEN,Ronnie Hillman\HillRo00,RB,21,2016,San Diego St.
2012,3,68,HOU,DeVier Posey\PoseDe00,WR,23,2014,Ohio St.
2012,3,69,BUF,T.J. Graham\GrahT.00,WR,23,2015,North Carolina St.
2012,3,70,JAX,Bryan Anger\AngeBr00,P,23,2017,California
2012,3,71,WAS,Josh LeRibeus\LeRiJo00,G,23,2017,SMU
2012,3,72,MIA,Olivier Vernon\VernOl00,LB,21,2017,Miami (FL)
2012,3,73,SDG,Brandon Taylor\TaylBr02,DB,22,2012,LSU
2012,3,74,KAN,Donald Stephenson\StepDo00,T,24,2017,Oklahoma
2012,3,75,SEA,Russell Wilson\WilsRu00,QB,23,2017,Wisconsin
2012,3,76,HOU,Brandon Brooks\BrooBr00,G,23,2017,Miami (OH)
2012,3,77,NYJ,Demario Davis\DaviDe00,LB,23,2017,Arkansas St.
2012,3,78,MIA,Michael Egnew\EgneMi00,TE,22,2013,Missouri
2012,3,79,CHI,Brandon Hardin\HardBr01,DB,22,2012,Oregon St.
2012,3,80,ARI,Jamell Fleming\FlemJa00,DB,23,2015,Oklahoma
2012,3,81,DAL,Tyrone Crawford\CrawTy00,DE,22,2017,Boise St.
2012,3,82,TEN,Mike Martin\MartMi01,DT,22,2015,Michigan
2012,3,83,CIN,Mohamed Sanu\SanuMo00,WR,23,2017,Rutgers
2012,3,84,BAL,Bernard Pierce\PierBe00,RB,22,2015,Temple
2012,3,85,DET,Bill Bentley\BentBi00,DB,23,2015,
2012,3,86,PIT,Sean Spence\SpenSe00,LB,22,2017,Miami (FL)
2012,3,87,CLE,John Hughes\HughJo00,DT,24,2017,Cincinnati
2012,3,88,PHI,Nick Foles\FoleNi00,QB,23,2017,Arizona
2012,3,89,NOR,Akiem Hicks\HickAk00,DE,22,2017,
2012,3,90,NWE,Jake Bequette\BequJa00,DE,23,2014,Arkansas
2012,3,91,ATL,Lamar Holmes\HolmLa00,T,23,2014,Southern Miss
2012,3,92,IND,T.Y. Hilton\HiltT.00,WR,22,2017,Florida International
2012,3,93,CIN,Brandon Thompson\ThomBr01,DT,22,2015,Clemson
2012,3,94,NYG,Jayron Hosley\HoslJa00,DB,22,2015,Virginia Tech
2012,3,95,OAK,Tony Bergstrom\BergTo00,T,26,2017,Utah
2012,4,96,STL,Chris Givens\GiveCh00,WR,22,2015,Wake Forest
2012,4,97,MIA,Lamar Miller\MillLa01,RB,21,2017,Miami (FL)
2012,4,98,BAL,Gino Gradkowski\GradGi00,G,23,2016,Delaware
2012,4,99,HOU,Ben Jones\JoneBe01,C,23,2017,Georgia
2012,4,100,CLE,Travis Benjamin\BenjTr00,WR,22,2017,Miami (FL)
2012,4,101,DEN,Omar Bolden\BoldOm00,DB,23,2015,Arizona St.
2012,4,102,WAS,Kirk Cousins\CousKi00,QB,24,2017,Michigan St.
2012,4,103,CAR,Frank Alexander\AlexFr00,DE,22,2014,Oklahoma
2012,4,104,CAR,Joe Adams\AdamJo01,WR,22,2012,Arkansas
2012,4,105,BUF,Nigel Bradham\BradNi00,LB,23,2017,Florida St.
2012,4,106,SEA,Robert Turbin\TurbRo00,RB,22,2017,Utah St.
2012,4,107,KAN,Devon Wylie\WyliDe00,WR,24,2014,Fresno St.
2012,4,108,DEN,Philip Blake\BlakPh00,OL,26,2012,Baylor
2012,4,109,PIT,Alameda Ta'amu\Ta'aAl00,DT,22,2014,Washington
2012,4,110,SDG,Ladarius Green\GreeLa00,TE,22,2016,
2012,4,111,CHI,Evan Rodriguez\RodrEv00,TE,24,2014,Temple
2012,4,112,ARI,Bobby Massie\MassBo00,T,23,2017,Mississippi
2012,4,113,DAL,Kyle Wilber\WilbKy00,LB,23,2017,Wake Forest
2012,4,114,SEA,Jaye Howard\HowaJa00,DT,23,2016,Florida
2012,4,115,TEN,Coty Sensabaugh\SensCo00,DB,23,2017,Clemson
2012,4,116,CIN,Orson Charles\CharOr00,TE,21,2017,Georgia
