Year,Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
2010,7,supp,DAL,Josh Brent\BrenJo00,DT,22,2014,Illinois
2010,7,supp,CHI,Harvey Unga\UngaHa00,RB,23,2012,BYU
