Year,Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
2011,1,30,NYJ,Muhammad Wilkerson\WilkMu00,DT,21,2017,Temple
2011,1,31,PIT,Cameron Heyward\HeywCa01,DE,22,2017,Ohio St.
2011,1,32,GNB,Derek Sherrod\SherDe00,T,22,2014,Mississippi St.
2011,2,33,NWE,Ras-I Dowling\DowlRa00,DB,23,2014,Virginia
2011,2,34,BUF,Aaron Williams\WillAa00,DB,21,2016,Texas
2011,2,35,CIN,Andy Dalton\DaltAn00,QB,23,2017,TCU
2011,2,36,SFO,Colin Kaepernick\KaepCo00,QB,23,2016,Nevada
2011,2,37,CLE,Jabaal Sheard\SheaJa00,DE,22,2017,Pittsburgh
2011,2,38,ARI,Ryan Williams\WillRy00,RB,21,2014,Virginia Tech
2011,2,39,TEN,Akeem Ayers\AyerAk00,LB,22,2017,UCLA
2011,2,40,DAL,Bruce Carter\CartBr00,LB,23,2017,North Carolina
2011,2,41,WAS,Jarvis Jenkins\JenkJa01,DT,23,2017,Clemson
2011,2,42,HOU,Brooks Reed\ReedBr00,LB,24,2017,Arizona
2011,2,43,MIN,Kyle Rudolph\RudoKy00,TE,21,2017,Notre Dame
2011,2,44,DET,Titus Young\YounTi00,WR,22,2012,Boise St.
2011,2,45,DEN,Rahim Moore\MoorRa00,DB,21,2015,UCLA
2011,2,46,DEN,Orlando Franklin\FranOr00,T,23,2017,Miami (FL)
2011,2,47,STL,Lance Kendricks\KendLa00,TE,23,2017,Wisconsin
2011,2,48,OAK,Stefen Wisniewski\WisnSt01,C,22,2017,Penn St.
2011,2,49,IND,Ben Ijalana\IjalBe00,T,22,2017,Villanova
2011,2,50,SDG,Marcus Gilchrist\GilcMa00,DB,22,2017,Clemson
2011,2,51,TAM,Da'Quan Bowers\BoweDa00,DE,21,2015,Clemson
2011,2,52,NYG,Marvin Austin\AustMa00,DT,22,2014,North Carolina
2011,2,53,CHI,Stephen Paea\PaeaSt00,DT,23,2017,Oregon St.
2011,2,54,PHI,Jaiquawn Jarrett\JarrJa00,DB,22,2015,Temple
2011,2,55,KAN,Rodney Hudson\HudsRo00,C,22,2017,Florida St.
2011,2,56,NWE,Shane Vereen\VereSh00,RB,22,2017,California
2011,2,57,DET,Mikel Leshoure\LeshMi00,RB,21,2013,Illinois
2011,2,58,BAL,Torrey Smith\SmitTo02,WR,22,2017,Maryland
2011,2,59,CLE,Greg Little\LittGr00,WR,22,2014,North Carolina
2011,2,60,HOU,Brandon Harris\HarrBr00,DB,21,2014,Miami (FL)
2011,2,61,SDG,Jonas Mouton\MoutJo00,LB,23,2012,Michigan
2011,2,62,MIA,Daniel Thomas\ThomDa03,RB,23,2014,Kansas St.
2011,2,63,PIT,Marcus Gilbert\GilbMa00,T,23,2017,Florida
2011,2,64,GNB,Randall Cobb\CobbRa00,WR,21,2017,Kentucky
2011,3,65,CAR,Terrell McClain\McClTe00,DT,23,2017,South Florida
2011,3,66,CIN,Dontay Moch\MochDo00,LB,23,2014,Nevada
2011,3,67,DEN,Nate Irving\IrviNa00,LB,23,2015,North Carolina St.
2011,3,68,BUF,Kelvin Sheppard\ShepKe00,LB,23,2017,LSU
2011,3,69,ARI,Rob Housler\HousRo01,TE,23,2015,Florida Atlantic
2011,3,70,KAN,Justin Houston\HousJu00,LB,22,2017,Georgia
2011,3,71,DAL,DeMarco Murray\MurrDe00,RB,23,2017,Oklahoma
2011,3,72,NOR,Martez Wilson\WilsMa01,LB,23,2013,Illinois
2011,3,73,NWE,Stevan Ridley\RidlSt00,RB,22,2017,LSU
2011,3,74,NWE,Ryan Mallett\MallRy00,QB,23,2017,Arkansas
2011,3,75,SEA,John Moffitt\MoffJo00,G,24,2013,Wisconsin
2011,3,76,JAX,Will Rackley\RackWi01,G,21,2014,Lehigh
2011,3,77,TEN,Jurrell Casey\CaseJu00,DT,21,2017,USC
2011,3,78,STL,Austin Pettis\PettAu00,WR,23,2014,Boise St.
2011,3,79,WAS,Leonard Hankerson\HankLe00,WR,23,2015,Miami (FL)
2011,3,80,SFO,Chris Culliver\CullCh00,DB,23,2015,South Carolina
2011,3,81,OAK,DeMarcus Van Dyke\VanDDe00,DB,22,2014,Miami (FL)
2011,3,82,SDG,Vincent Brown\BrowVi00,WR,22,2015,San Diego St.
2011,3,83,NYG,Jerrel Jernigan\JernJe00,WR,22,2014,Troy
2011,3,84,TAM,Mason Foster\FostMa00,LB,22,2017,Washington
2011,3,85,BAL,Jah Reid\ReidJa00,T,23,2016,Central Florida
2011,3,86,KAN,Allen Bailey\BailAl00,DE,22,2017,Miami (FL)
2011,3,87,IND,Drake Nevis\NeviDr00,DT,22,2013,LSU
2011,3,88,NOR,Johnny Patrick\PatrJo00,DB,23,2013,Louisville
2011,3,89,SDG,Shareece Wright\WrigSh00,DB,24,2017,USC
