Year,Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
2009,1,1,DET,Matthew Stafford\StafMa00,QB,21,2017,Georgia
2009,1,2,STL,Jason Smith\SmitJa22,T,23,2012,Baylor
2009,1,3,KAN,Tyson Jackson\JackTy98,DE,23,2016,LSU
2009,1,4,SEA,Aaron Curry\CurrAa99,LB,23,2012,Wake Forest
2009,1,5,NYJ,Mark Sanchez\SancMa00,QB,22,2016,USC
2009,1,6,CIN,Andre Smith\SmitAn23,T,22,2017,Alabama
2009,1,7,OAK,Darrius Heyward-Bey\HeywDa00,WR,22,2017,Maryland
2009,1,8,JAX,Eugene Monroe\MonrEu20,T,22,2015,Virginia
2009,1,9,GNB,B.J. Raji\RajiBJ99,DT,23,2015,Boston Col.
2009,1,10,SFO,Michael Crabtree\CrabMi00,WR,22,2017,Texas Tech
2009,1,11,BUF,Aaron Maybin\MaybAa99,DE,21,2012,Penn St.
2009,1,12,DEN,Knowshon Moreno\MoreKn00,RB,22,2014,Georgia
2009,1,13,WAS,Brian Orakpo\OrakBr99,LB,23,2017,Texas
2009,1,14,NOR,Malcolm Jenkins\JenkMa99,DB,21,2017,Ohio St.
2009,1,15,HOU,Brian Cushing\CushBr99,LB,22,2017,USC
2009,1,16,SDG,Larry English\EnglLa99,LB,23,2014,Northern Illinois
2009,1,17,TAM,Josh Freeman\FreeJo00,QB,21,2015,Kansas St.
2009,1,18,DEN,Robert Ayers\AyerRo99,DE,24,2017,Tennessee
2009,1,19,PHI,Jeremy Maclin\MaclJe00,WR,21,2017,Missouri
2009,1,20,DET,Brandon Pettigrew\PettBr00,TE,24,2015,Oklahoma St.
2009,1,21,CLE,Alex Mack\MackAl20,C,23,2017,California
2009,1,22,MIN,Percy Harvin\HarvPe00,WR,21,2016,Florida
2009,1,23,BAL,Michael Oher\OherMi20,T,23,2016,Mississippi
2009,1,24,ATL,Peria Jerry\JerrPe99,DT,25,2013,Mississippi
2009,1,25,MIA,Vontae Davis\DaviVo99,DB,21,2017,Illinois
2009,1,26,GNB,Clay Matthews\MattCl99,LB,23,2017,USC
2009,1,27,IND,Donald Brown\BrowDo00,RB,22,2015,Connecticut
2009,1,28,BUF,Eric Wood\WoodEr20,C,23,2017,Louisville
2009,1,29,NYG,Hakeem Nicks\NickHa01,WR,21,2015,North Carolina
2009,1,30,TEN,Kenny Britt\BritKe00,WR,21,2017,Rutgers
2009,1,31,ARI,Beanie Wells\WellCh00,RB,21,2012,Ohio St.
2009,1,32,PIT,Evander Hood\HoodEv99,DE,22,2017,Missouri
2009,2,33,DET,Louis Delmas\DelmLo99,DB,22,2014,West. Michigan
2009,2,34,NWE,Patrick Chung\ChunPa99,DB,22,2017,Oregon
2009,2,35,STL,James Laurinaitis\LaurJa99,LB,22,2016,Ohio St.
