Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
3,67,DEN,Nate Irving\IrviNa00,LB,23,2015,North Carolina St.
3,68,BUF,Kelvin Sheppard\ShepKe00,LB,23,2017,LSU
3,69,ARI,Rob Housler\HousRo01,TE,23,2015,Florida Atlantic
3,70,KAN,Justin Houston\HousJu00,LB,22,2017,Georgia
3,71,DAL,DeMarco Murray\MurrDe00,RB,23,2017,Oklahoma
3,72,NOR,Martez Wilson\WilsMa01,LB,23,2013,Illinois
3,73,NWE,Stevan Ridley\RidlSt00,RB,22,2017,LSU
3,74,NWE,Ryan Mallett\MallRy00,QB,23,2017,Arkansas
3,75,SEA,John Moffitt\MoffJo00,G,24,2013,Wisconsin
3,76,JAX,Will Rackley\RackWi01,G,21,2014,Lehigh
3,77,TEN,Jurrell Casey\CaseJu00,DT,21,2017,USC
3,78,STL,Austin Pettis\PettAu00,WR,23,2014,Boise St.
3,79,WAS,Leonard Hankerson\HankLe00,WR,23,2015,Miami (FL)
3,80,SFO,Chris Culliver\CullCh00,DB,23,2015,South Carolina
3,81,OAK,DeMarcus Van Dyke\VanDDe00,DB,22,2014,Miami (FL)
3,82,SDG,Vincent Brown\BrowVi00,WR,22,2015,San Diego St.
3,83,NYG,Jerrel Jernigan\JernJe00,WR,22,2014,Troy
3,84,TAM,Mason Foster\FostMa00,LB,22,2017,Washington
3,85,BAL,Jah Reid\ReidJa00,T,23,2016,Central Florida
3,86,KAN,Allen Bailey\BailAl00,DE,22,2017,Miami (FL)
3,87,IND,Drake Nevis\NeviDr00,DT,22,2013,LSU
3,88,NOR,Johnny Patrick\PatrJo00,DB,23,2013,Louisville
3,89,SDG,Shareece Wright\WrigSh00,DB,24,2017,USC
3,90,PHI,Curtis Marsh\MarsCu01,DB,23,2014,Utah St.
3,91,ATL,Akeem Dent\DentAk00,LB,24,2016,Georgia
3,92,OAK,Joe Barksdale\BarkJo00,T,23,2017,LSU
3,93,CHI,Chris Conte\ContCh00,DB,22,2017,California
3,94,NYJ,Kenrick Ellis\ElliKe01,DT,23,2015,Hampton
3,95,PIT,Curtis Brown\BrowCu01,DB,23,2013,Texas
3,96,GNB,Alex Green\GreeAl00,RB,23,2013,Hawaii
3,97,CAR,Sione Fua\FuaxSi00,DT,23,2014,Stanford
4,98,CAR,Brandon Hogan\HogaBr00,DB,23,2011,West Virginia
4,99,SEA,K.J. Wright\WrigK.00,LB,22,2017,Mississippi St.
4,100,BUF,Da'Norris Searcy\SearDa00,DB,22,2017,North Carolina
4,101,CIN,Clint Boling\BoliCl00,G,22,2017,Georgia
4,102,CLE,Jordan Cameron\CameJo00,TE,23,2016,USC
4,103,ARI,Sam Acho\AchoSa00,DE,23,2017,Texas
4,104,TAM,Luke Stocker\StocLu00,TE,23,2017,Tennessee
4,105,WAS,Roy Helu\HeluRo00,RB,22,2015,Nebraska
4,106,MIN,Christian Ballard\BallCh00,DT,22,2012,Iowa
4,107,SEA,Kris Durham\DurhKr00,WR,23,2014,Georgia
4,108,DEN,Quinton Carter\CartQu01,DB,23,2014,Oklahoma
4,109,TEN,Colin McCarthy\McCaCo00,LB,22,2014,Miami (FL)
