Year,Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
2010,1,1,STL,Sam Bradford\BradSa00,QB,22,2017,Oklahoma
2010,1,2,DET,Ndamukong Suh\SuhxNd99,DT,23,2017,Nebraska
2010,1,3,TAM,Gerald McCoy\McCoGe99,DT,22,2017,Oklahoma
2010,1,4,WAS,Trent Williams\WillTr21,T,22,2017,Oklahoma
2010,1,5,KAN,Eric Berry\BerrEr99,DB,21,2017,Tennessee
2010,1,6,SEA,Russell Okung\OkunRu20,T,22,2017,Oklahoma St.
2010,1,7,CLE,Joe Haden\HadeJo99,DB,21,2017,Florida
2010,1,8,OAK,Rolando McClain\McClRo00,LB,21,2015,Alabama
2010,1,9,BUF,C.J. Spiller\SpilC.00,RB,23,2017,Clemson
2010,1,10,JAX,Tyson Alualu\AluaTy99,DT,23,2017,California
2010,1,11,SFO,Anthony Davis\DaviAn27,T,20,2016,Rutgers
2010,1,12,SDG,Ryan Mathews\MathRy00,RB,22,2016,Fresno St.
2010,1,13,PHI,Brandon Graham\GrahBr99,DE,22,2017,Michigan
2010,1,14,SEA,Earl Thomas\ThomEa99,DB,21,2017,Texas
2010,1,15,NYG,Jason Pierre-Paul\PierJa99,DE,21,2017,South Florida
2010,1,16,TEN,Derrick Morgan\MorgDe99,DE,21,2017,Georgia Tech
2010,1,17,SFO,Mike Iupati\IupaMi20,G,23,2017,Idaho
2010,1,18,PIT,Maurkice Pouncey\PounMa20,C,21,2017,Florida
2010,1,19,ATL,Sean Weatherspoon\WeatSe99,LB,22,2017,Missouri
2010,1,20,HOU,Kareem Jackson\JackKa99,DB,22,2017,Alabama
2010,1,21,CIN,Jermaine Gresham\GresJe00,TE,22,2017,Oklahoma
2010,1,22,DEN,Demaryius Thomas\ThomDe03,WR,22,2017,Georgia Tech
2010,1,23,GNB,Bryan Bulaga\BulaBr20,T,21,2017,Iowa
2010,1,24,DAL,Dez Bryant\BryaDe01,WR,21,2017,Oklahoma St.
2010,1,25,DEN,Tim Tebow\TeboTi00,QB,23,2012,Florida
2010,1,26,ARI,Dan Williams\WillDa99,DT,23,2016,Tennessee
2010,1,27,NWE,Devin McCourty\McCoDe99,DB,23,2017,Rutgers
2010,1,28,MIA,Jared Odrick\OdriJa99,DE,22,2016,Penn St.
2010,1,29,NYJ,Kyle Wilson\WilsKy99,DB,23,2015,Boise St.
2010,1,30,DET,Jahvid Best\BestJa00,RB,21,2012,California
2010,1,31,IND,Jerry Hughes\HughJe99,DE,22,2017,TCU
2010,1,32,NOR,Patrick Robinson\RobiPa99,DB,23,2017,Florida St.
2010,2,33,STL,Rodger Saffold\SaffRo20,T,22,2017,Indiana
2010,2,34,MIN,Chris Cook\CookCh99,DB,23,2014,Virginia
2010,2,35,TAM,Brian Price\PricBr99,DT,21,2012,UCLA
2010,2,36,KAN,Dexter McCluster\McClDe00,WR,21,2016,Mississippi
2010,2,37,PHI,Nate Allen\AlleNa99,DB,22,2017,South Florida
2010,2,38,CLE,T.J. Ward\WardT.99,DB,23,2017,Oregon
2010,2,39,TAM,Arrelious Benn\BennAr00,WR,22,2017,Illinois
2010,2,40,MIA,Koa Misi\MisiKo99,LB,23,2016,Utah
2010,2,41,BUF,Torell Troup\TrouTo00,DT,21,2012,Central Florida
2010,2,42,NWE,Rob Gronkowski\GronRo00,TE,21,2017,Arizona
2010,2,43,BAL,Sergio Kindle\KindSe99,LB,23,2012,Texas
2010,2,44,OAK,Lamarr Houston\HousLa99,DE,23,2017,Texas
2010,2,45,DEN,Zane Beadles\BeadZa20,G,23,2017,Utah
2010,2,46,NYG,Linval Joseph\JoseLi99,DT,21,2017,East Carolina
2010,2,47,ARI,Daryl Washington\WashDa99,LB,23,2014,TCU
2010,2,48,CAR,Jimmy Clausen\ClauJi00,QB,23,2015,Notre Dame
2010,2,49,SFO,Taylor Mays\MaysTa99,DB,22,2015,USC
2010,2,50,KAN,Javier Arenas\ArenJa99,DB,22,2014,Alabama
2010,2,51,MIN,Toby Gerhart\GerhTo00,RB,23,2015,Stanford
2010,2,52,PIT,Jason Worilds\WoriJa99,DE,22,2014,Virginia Tech
2010,2,53,NWE,Jermaine Cunningham\CunnJe99,LB,22,2014,Florida
2010,2,54,CIN,Carlos Dunlap\DunlCa99,DE,21,2017,Florida
2010,2,55,DAL,Sean Lee\LeexSe99,LB,24,2017,Penn St.
2010,2,56,GNB,Mike Neal\NealMi99,DE,23,2015,Purdue
2010,2,57,BAL,Terrence Cody\CodyTe99,DT,22,2014,Alabama
2010,2,58,HOU,Ben Tate\TateBe00,RB,22,2014,Auburn
2010,2,59,CLE,Montario Hardesty\HardMo00,RB,23,2012,Tennessee
2010,2,60,SEA,Golden Tate\TateGo00,WR,22,2017,Notre Dame
